date,open,high,low,close,volume,average
2024-04-04,81.44,81.44,81.44,81.44,0.0,81.44
2024-04-05,81.6,81.6,81.53,81.53,3.0,81.6
2024-04-08,80.9,81.21,80.9,81.21,5.0,80.992
2024-04-09,80.81,80.81,80.65,80.67,20.0,80.689
2024-04-10,81.26,81.26,81.26,81.26,0.0,81.26
2024-04-11,81.13,81.13,81.13,81.13,0.0,81.13
2024-04-12,82.67,82.67,81.74,81.74,5.0,82.516
2024-04-15,81.13,81.74,81.13,81.74,3.0,81.13
2024-04-16,81.67,81.91,81.67,81.91,1.0,81.67
2024-04-17,80.1,80.1,80.1,80.1,0.0,80.1
2024-04-18,79.9,79.9,79.9,79.9,0.0,79.9
2024-04-19,79.66,79.66,79.66,79.66,0.0,79.66
2024-04-22,79.09,79.32,79.09,79.32,1.0,79.09
2024-04-23,79.6,80.19,79.6,80.19,3.0,79.6
2024-04-24,80.01,80.25,79.99,80.25,17.0,80.035
2024-04-25,80.64,80.64,80.64,80.64,0.0,80.64
2024-04-26,81.03,81.03,81.03,81.03,0.0,81.03
2024-04-29,80.59,80.59,80.43,80.43,2.0,80.585
2024-04-30,79.91,79.91,79.91,79.91,0.0,79.91
2024-05-01,77.77,77.77,77.57,77.62,19.0,77.615
2024-05-02,77.95,78.04,77.95,78.04,15.0,77.95
2024-05-03,77.93,77.93,77.93,77.93,0.0,77.93
2024-05-06,78.2,78.38,78.2,78.38,8.0,78.2
2024-05-07,78.4,78.45,78.27,78.27,36.0,78.445
2024-05-08,78.0,78.16,77.94,78.16,47.0,78.08
2024-05-09,78.12,78.41,78.12,78.41,1.0,78.12
2024-05-10,78.78,78.78,77.69,77.69,33.0,77.819
2024-05-13,78.17,78.17,78.17,78.17,0.0,78.17
2024-05-14,77.55,77.65,77.55,77.65,2.0,77.55
2024-05-15,76.89,77.93,76.89,77.87,25.0,77.262
2024-05-16,78.5,78.55,78.21,78.37,26.0,78.368
2024-05-17,78.93,79.0,78.93,79.0,3.0,78.93
2024-05-20,79.2,79.2,78.75,79.1,46.0,79.049
2024-05-21,78.84,78.92,78.3,78.58,87.0,78.585
2024-05-22,77.97,77.97,77.45,77.54,31.0,77.493
2024-05-23,78.06,78.06,76.82,77.12,25.0,77.301
2024-05-24,77.73,77.73,77.56,77.56,6.0,77.73
2024-05-28,79.32,79.32,79.32,79.32,0.0,79.32
2024-05-29,79.02,79.02,78.9,78.9,120.0,78.95
2024-05-30,78.78,79.09,78.05,78.05,109.0,78.838
2024-05-31,77.9,77.9,77.9,77.9,4.0,77.9
2024-06-03,77.51,77.51,75.73,75.86,91.0,76.429
2024-06-04,74.76,74.99,74.76,74.85,11.0,74.863
2024-06-05,74.9,75.02,74.55,75.02,18.0,74.857
2024-06-06,75.45,76.11,75.45,76.09,7.0,75.91
2024-06-07,76.42,76.42,76.13,76.39,88.0,76.249
2024-06-10,76.76,76.76,76.76,76.76,2.0,76.76
2024-06-11,78.17,78.17,78.1,78.1,6.0,78.12
2024-06-12,78.1,78.48,78.07,78.33,81.0,78.421
2024-06-13,78.54,78.54,78.54,78.54,0.0,78.54
2024-06-14,78.24,78.24,78.24,78.24,1.0,78.24
2024-06-17,78.7,78.7,78.7,78.7,0.0,78.7
2024-06-18,79.52,79.52,79.5,79.5,30.0,79.505
2024-06-20,80.02,80.02,80.02,80.02,0.0,80.02
2024-06-21,79.34,79.34,79.34,79.34,4.0,79.34
2024-06-24,80.35,80.35,80.35,80.35,15.0,80.35
2024-06-25,80.33,80.47,80.0,80.0,50.0,80.347
2024-06-26,80.2,80.2,80.2,80.2,0.0,80.2
2024-06-27,80.55,80.55,80.26,80.38,11.0,80.433
2024-06-28,80.12,80.12,80.12,80.12,0.0,80.12
2024-07-01,81.17,81.23,81.08,81.08,20.0,81.168
2024-07-02,81.44,81.44,81.44,81.44,2.0,81.44
2024-07-05,82.16,82.16,81.46,81.8,4.0,81.805
2024-07-08,80.94,81.01,80.88,81.0,44.0,80.97
2024-07-09,80.77,80.77,80.09,80.09,30.0,80.43
2024-07-10,80.36,80.36,79.97,79.97,3.0,80.1
2024-07-11,80.0,80.05,80.0,80.05,16.0,80.003
2024-07-12,79.99,79.99,79.88,79.88,2.0,79.935
2024-07-15,79.72,79.72,79.72,79.72,16.0,79.72
2024-07-16,78.61,79.17,78.6,79.11,42.0,78.755
2024-07-17,79.5,79.56,79.42,79.54,10.0,79.513
2024-07-19,79.23,79.32,77.68,77.68,28.0,78.145
2024-07-22,77.41,77.41,77.41,77.41,0.0,77.41
2024-07-23,77.19,77.26,76.53,76.92,39.0,76.844
2024-07-24,76.94,77.5,76.94,77.3,25.0,77.213
2024-07-25,76.64,77.65,76.64,77.65,7.0,77.311
2024-07-26,76.97,77.12,76.15,76.9,26.0,76.867
2024-07-29,76.6,76.6,75.8,76.11,77.0,76.136
2024-07-30,75.55,75.68,75.47,75.5,15.0,75.627
2024-07-31,77.2,78.0,77.2,77.6,18.0,77.894
2024-08-01,78.02,78.02,76.6,76.61,28.0,76.793
2024-08-02,74.93,74.93,74.12,74.12,33.0,74.889
2024-08-05,73.71,74.82,73.62,74.08,38.0,74.033
2024-08-06,73.67,74.35,73.67,73.93,36.0,74.103
2024-08-07,74.76,75.34,74.74,75.17,13.0,75.147
2024-08-08,75.04,75.95,75.04,75.94,30.0,75.81
2024-08-09,75.78,76.38,75.69,76.33,67.0,76.139
2024-08-12,77.08,78.34,77.08,78.34,102.0,77.699
2024-08-13,77.67,77.67,77.06,77.2,44.0,77.234
2024-08-14,77.2,77.24,76.54,76.61,97.0,76.926
2024-08-15,77.2,77.73,77.2,77.47,45.0,77.582
2024-08-16,76.49,76.68,76.22,76.31,35.0,76.444
2024-08-19,76.54,76.54,74.88,75.03,70.0,75.297
2024-08-20,75.24,75.3,74.35,74.4,89.0,74.666
2024-08-21,74.7,75.05,73.25,73.53,125.0,73.888
2024-08-22,73.72,74.64,73.72,74.28,36.0,74.13
2024-08-23,75.14,75.78,75.14,75.63,82.0,75.466
2024-08-26,77.25,77.33,76.88,77.12,74.0,77.086
2024-08-27,76.76,76.76,75.76,75.85,190.0,76.107
2024-08-28,74.98,75.58,74.62,74.82,53.0,75.105
2024-08-29,75.79,76.16,75.44,75.85,93.0,75.828
2024-08-30,74.58,74.64,74.09,74.43,75.0,74.423
2024-09-03,72.37,72.48,71.72,71.79,129.0,72.091
2024-09-04,71.57,72.16,70.82,71.03,153.0,71.505
2024-09-05,71.67,72.33,71.14,71.43,306.0,71.651
2024-09-06,71.98,71.98,69.88,70.46,273.0,70.457
2024-09-09,69.76,70.73,69.76,70.54,247.0,70.388
2024-09-10,70.29,70.29,67.87,68.62,240.0,68.8
2024-09-11,68.98,69.64,68.21,69.34,134.0,69.033
2024-09-12,70.03,71.21,69.6,70.74,109.0,70.58
2024-09-13,71.09,71.36,70.08,70.55,141.0,70.579
2024-09-16,71.28,71.56,70.91,71.33,88.0,71.24
2024-09-17,71.32,72.35,71.32,71.89,125.0,71.856
2024-09-18,71.41,72.04,71.18,71.18,125.0,71.706
2024-09-19,72.15,72.88,71.94,72.56,213.0,72.543
2024-09-20,72.27,72.61,71.94,72.57,205.0,72.3
2024-09-23,72.99,73.07,71.31,72.37,175.0,72.236
2024-09-24,73.41,73.43,72.82,73.24,183.0,73.125
2024-09-25,72.8,73.09,71.74,72.13,266.0,72.316
2024-09-26,70.21,71.13,69.95,70.35,659.0,70.652
2024-09-27,70.0,71.13,69.9,71.13,421.0,70.594
2024-09-30,70.96,71.67,70.64,71.16,275.0,71.095
